ax,ay,az,gx,gy,gz,activity
8.4699,-2.3856,-2.9162,-21.1791,1.5258,7.9345,1
8.4915,-2.7236,-3.1992,-24.5360,0.8544,12.0849,1
8.7278,-3.2973,-3.0783,-24.4750,0.9155,11.0473,1
8.4676,-3.4474,-3.0538,-22.0946,3.2348,7.8735,1
8.2899,-3.2769,-3.1334,-20.2025,5.9814,7.9345,1
9.0012,-3.0005,-3.2147,-19.3480,12.0849,6.0424,1
8.9545,-2.7768,-3.0245,-24.7802,21.3012,3.8452,1
9.0215,-2.4281,-2.9617,-31.3109,20.6298,6.7748,1
9.0747,-2.7511,-2.7990,-38.5130,22.0336,15.1366,1
8.9952,-2.8791,-2.6147,-40.2831,19.1649,21.7894,1
8.7792,-3.2338,-2.3994,-39.2455,14.3432,24.2919,1
8.6703,-3.2943,-2.3413,-38.1468,9.5214,26.7333,1
8.8917,-3.0436,-2.3515,-39.1844,5.0048,29.4188,1
8.8899,-2.8683,-2.5142,-42.9076,5.6762,31.4940,1
8.7050,-2.9682,-2.4311,-46.7528,6.1645,29.1747,1
8.0362,-3.3188,-2.1583,-47.0579,3.2348,26.7333,1
8.2492,-3.5276,-2.0985,-46.1424,0.7934,22.1557,1
8.6739,-3.7639,-2.6452,-43.3958,1.4038,18.6156,1
9.2398,-3.5533,-2.8223,-38.6961,8.2397,13.7328,1
9.6161,-3.0723,-3.1764,-36.6820,13.4277,14.6484,1
10.1347,-3.5497,-3.7387,-31.6771,17.0897,16.9677,1
9.5718,-3.7064,-3.6646,-27.1605,26.3671,23.3153,1
8.3174,-3.7244,-2.8295,-32.3485,18.1273,23.6815,1
8.1056,-3.3218,-3.0753,-39.4896,14.2821,26.1840,1
7.8083,-3.4444,-3.4672,-45.1048,3.6010,22.3998,1
8.1876,-3.6119,-4.2640,-48.1566,0.4882,21.2401,1
8.0919,-3.7686,-4.3292,-47.3631,3.7231,16.6625,1
7.6211,-4.0905,-4.5409,-45.1048,1.6479,14.6484,1
7.3178,-4.3698,-4.3968,-37.7196,-1.6479,13.0004,1
7.6833,-4.2239,-4.4500,-32.1044,0.5493,6.1645,1
7.8239,-3.9463,-4.4733,-30.9447,5.4931,0.9765,1
7.7120,-3.6879,-4.3806,-30.6395,7.5683,-5.6152,1
7.7258,-3.2673,-4.5595,-30.7006,8.5448,-5.0659,1
7.2514,-3.0340,-4.7581,-33.3251,4.5776,0.7934,1
7.2053,-3.0137,-4.8460,-35.9496,1.8310,5.3100,1
7.3848,-3.3266,-4.4267,-34.9730,0.2441,9.8266,1
7.6893,-3.3852,-4.2885,-30.2123,6.0424,12.3901,1
8.1457,-3.5090,-4.0540,-25.4515,10.1928,11.2304,1
8.9192,-3.7351,-4.2406,-16.7846,9.3383,6.5307,1
9.1286,-3.6335,-4.1682,-6.7748,6.8359,2.0751,1
8.8773,-3.3493,-4.1288,-4.3945,4.7607,-1.5258,1
8.5351,-3.2823,-3.9996,-3.6621,3.4179,-7.9955,1
8.0350,-3.2482,-3.7776,-1.6479,1.0986,-9.3993,1
7.8382,-3.3397,-3.9308,5.1879,-5.6762,-11.1694,1
8.1254,-3.1184,-4.1341,10.3759,-9.1552,-12.0238,1
7.9698,-2.6123,-4.1216,12.5121,-6.8359,-11.7797,1
8.0039,-2.4424,-4.0414,13.4277,-7.8124,-6.5917,1
8.2061,-2.3533,-4.3399,9.0942,-7.0190,-4.0893,1
8.6231,-2.4197,-4.6079,3.4789,-7.1410,-2.3803,1
8.5375,-2.3862,-4.9447,-1.0375,0.9155,-3.2348,1
8.4161,-2.8037,-4.9740,-1.0986,-1.7089,-2.1362,1
8.3007,-3.3056,-4.7132,4.3945,1.1596,-2.0751,1
7.8466,-3.5294,-4.5894,10.6200,4.8217,-3.6621,1
7.8693,-3.2267,-4.5894,12.4511,3.2348,-2.2582,1
8.2450,-3.0382,-4.5702,13.0004,3.2958,-4.2724,1
8.1583,-2.8432,-4.0390,10.0707,1.3427,-16.7235,1
7.2705,-2.1948,-4.2083,8.1176,-6.2255,-9.5214,1
8.4544,-2.6362,-4.2789,8.0566,-3.2958,1.1596,1
8.6985,-3.0137,-4.0420,6.4086,1.1596,-4.3334,1
7.9848,-2.8540,-3.7028,1.5258,1.2207,-3.2958,1
8.3802,-2.3120,-3.7938,-1.8310,0.3051,2.7465,1
8.7702,-2.3060,-3.9188,-12.2680,2.9296,7.6293,1
9.0203,-2.5501,-4.0917,-19.3480,10.5590,12.0849,1
8.6859,-2.8677,-3.6598,-23.4984,16.2963,12.5732,1
8.4101,-2.9940,-3.7166,-24.1698,5.4321,16.7846,1
8.2181,-3.6352,-4.0612,-23.6815,3.9672,17.8222,1
8.0913,-4.0019,-4.3154,-17.4560,3.9062,13.7939,1
7.7754,-4.0348,-4.3130,-9.4604,4.4555,7.6293,1
7.5750,-4.1527,-4.6325,-3.6621,-2.3193,4.2114,1
7.8610,-4.0983,-4.9818,6.4086,-3.1127,0.2441,1
7.8496,-3.4773,-4.7718,9.2773,-5.8593,-2.1972,1
8.1960,-2.5555,-4.3764,7.6293,-4.3334,-2.1362,1
8.4191,-1.9597,-4.1318,0.4882,2.1362,1.5869,1
8.7888,-2.0111,-3.7322,-10.7421,1.9531,6.2866,1
8.9730,-2.0404,-3.6813,-23.8036,3.3569,7.9345,1
8.5962,-2.1708,-3.8027,-30.6395,-1.3427,11.2914,1
8.1248,-3.0041,-4.1084,-36.1327,-8.7280,17.8832,1
7.7754,-3.5150,-4.3298,-34.4847,-2.0751,19.1039,1
7.9292,-3.9200,-4.2891,-29.7240,4.5776,17.3949,1
8.0506,-3.8997,-4.4123,-21.5453,11.2914,13.7939,1
8.0303,-3.4037,-4.3704,-18.6767,13.9770,12.0238,1
8.0309,-3.3577,-4.6546,-18.1273,15.6859,9.6435,1
7.9351,-3.4085,-4.2687,-19.4701,9.7045,7.9955,1
8.0171,-3.4576,-4.3226,-17.4560,-4.6996,8.7890,1
7.9842,-3.3373,-4.2987,-17.7611,-8.1176,7.2021,1
7.9932,-3.3942,-4.5595,-17.7611,-10.0097,5.2490,1
7.9334,-3.5730,-4.4937,-15.7470,-13.0614,2.6245,1
7.9005,-3.5240,-4.3052,-10.0707,-11.9628,0.7324,1
8.1481,-3.2859,-4.0845,-4.7607,-13.3056,0.7324,1
8.2462,-3.1310,-4.0187,3.1127,-7.6293,0.5493,1
8.7451,-3.0430,-4.2945,5.0659,-5.6762,0.2441,1
8.6620,-2.9790,-4.0582,4.8217,3.4789,-3.0517,1
8.4801,-2.9904,-3.8656,5.4931,5.4931,-3.1738,1
8.4275,-2.9958,-4.0289,6.0424,6.6528,-1.9531,1
8.2013,-2.8600,-4.0414,6.3476,10.0097,0.3051,1
8.1619,-2.9138,-4.0636,5.3710,11.1083,2.5634,1
8.0333,-2.7337,-4.3178,3.1738,12.5121,2.4414,1
8.1242,-2.7738,-4.4931,-2.9907,11.4745,4.2114,1
8.2331,-2.8666,-4.6450,-5.5541,12.7563,5.4321,1
8.0093,-3.0287,-4.4985,-9.8876,10.7421,8.2397,1
7.8622,-3.2829,-4.6384,-10.8031,12.0238,9.8876,1
7.7952,-3.3320,-4.2538,-10.1928,11.4745,9.8266,1
7.7174,-3.0376,-4.3704,-6.8359,11.2304,11.2914,1
8.3036,-3.3278,-4.9597,-5.4321,11.4135,13.2445,1
8.0727,-3.5766,-5.0835,-9.4604,13.4887,14.7704,1
8.1122,-3.9547,-4.6271,-14.2821,9.6435,10.6811,1
7.7659,-4.0701,-4.5014,-15.5028,2.8686,2.3803,1
7.6348,-4.0558,-4.4075,-9.1552,-1.2207,0.9155,1
7.7240,-3.7435,-4.5326,-3.2348,-4.0283,-1.1596,1
8.0004,-3.3744,-4.4105,1.9531,-5.6762,-1.3427,1
8.0093,-3.0981,-4.2352,4.0893,-4.5165,-3.6621,1
7.8681,-2.8235,-4.2508,4.3334,-4.6386,-2.9907,1
7.8119,-2.8402,-4.2299,5.1879,-5.0048,1.0375,1
7.7234,-3.2344,-4.3465,5.3100,-11.2914,2.8076,1
7.8801,-3.7722,-4.5290,8.2397,-11.7187,1.9531,1
7.7132,-3.9481,-4.2502,8.3617,-9.2162,-1.6479,1
7.4033,-3.8099,-3.8542,8.4228,-10.9252,-4.2724,1
7.3244,-3.5718,-3.5539,12.3290,-11.9018,-2.8686,1
7.6414,-3.1633,-3.2374,16.2353,-12.6342,-2.6245,1
9.2297,-2.9611,-2.9018,16.1132,-10.3759,-10.3759,1
